id,nombre,cargo,password
5385,Cristian Suy,Ventas,3475_Ventas
5236,Hector Jimenez,Ventas,4564_Ventas
4269,Paula Fuentes,Ventas,2576_Ventas
4820,Jose Menendez,Ventas,4820_Ventas
4630,Leonardo Xocoy,Ventas,4630_Ventas
5229,Alberto Mejia,Ventas,5229_Ventas
5052,Benito Perez,Ventas,5052_Ventas
5325,Jose Requeda,Ventas,5325_Ventas
4696,Jordi Urrutia,Ventas,4696_Ventas
4242,Leopoldo Ruiz,Ventas,4242_Ventas
5513,Gerardo Mendez,Ventas,5513_Ventas
4469,Pedro Hernandez,Ventas,4469_Ventas
4364,Maria Tux,Ventas,4364_Ventas
4989,Teodoro Rodriguez,Ventas,4989_Ventas
